STA,DATE,YEAR,MONTH,MONTH#,NH4,ZscoreNH4,meanZ,CUSUM,mean NH4,wetdryave
18,3/10/1998,1998,MARCH,3,0.10 ,-0.892883624,-0.834348016,-12.28775576,0.365,
1,4/13/1998,1998,APRIL,4,4.54,0.096646883,,,,
17,4/13/1998,1998,APRIL,4,0.89,-0.717276801,,,,
18,4/13/1998,1998,APRIL,4,1.14,-0.661528604,-0.427386174,-12.71514194,2.19,
1,5/22/1998,1998,MAY,5,7.43,0.741096046,,,,
17,5/22/1998,1998,MAY,5,0.95,-0.703897234,,,,
18,5/22/1998,1998,MAY,5,4.57,0.103336666,0.04684516,-12.66829678,4.316666667,
1,6/18/1998,1998,JUNE,6,2.49,-0.360488337,,,,
17,6/18/1998,1998,JUNE,6,1.37,-0.610240262,,,,
18,6/19/1998,1998,JUNE,6,1.5,-0.581251199,-0.5173266,-13.18562338,1.786666667,
1,7/9/1998,1998,JULY,7,11.5,1.648676702,,,,
17,7/9/1998,1998,JULY,7,7.89,0.84367273,,,,
18,7/9/1998,1998,JULY,7,19.5,3.432619024,1.974989485,-11.21063389,12.96333333,
1,8/13/1998,1998,AUGUST,8,8.19,0.910570567,,,,
17,8/13/1998,1998,AUGUST,8,0.10 ,-0.892883624,,,,
18,8/13/1998,1998,AUGUST,8,1.42,-0.599090623,-0.193801227,-11.40443512,3.2375,
1,9/18/1998,1998,SEPTEMBER,9,8.99,1.088964799,,,,
17,9/18/1998,1998,SEPTEMBER,9,0.10 ,-0.892883624,,,,
18,9/18/1998,1998,SEPTEMBER,9,0.73,-0.752955648,-0.185624824,-11.59005994,3.274166667,
1,10/14/1998,1998,OCTOBER,10,7.33,0.718796767,,,,
17,10/14/1998,1998,OCTOBER,10,5.43,0.295110466,,,,
18,10/14/1998,1998,OCTOBER,10,3.33,-0.173174393,0.28024428,-11.30981566,5.363333333,
1,11/17/1998,1998,NOVEMBER,11,8.91,1.071125376,,,,
17,11/17/1998,1998,NOVEMBER,11,0.02,-0.911280529,,,,
18,11/17/1998,1998,NOVEMBER,11,0.7,-0.759645432,-0.199933528,-11.50974919,3.21,
1,12/16/1998,1998,DECEMBER,12,8.37,0.950709269,,,,
17,12/16/1998,1998,DECEMBER,12,0.74,-0.75072572,,,,
18,12/16/1998,1998,DECEMBER,12,1.21,-0.645919109,-0.148645187,-11.65839438,3.44,
1,1/20/1999,1999,JANUARY,1,2.75,-0.302510212,,,,
17,1/20/1999,1999,JANUARY,1,0.46,-0.813163701,,,,
18,1/20/1999,1999,JANUARY,1,1.41,-0.601320551,-0.572331488,-12.23072586,1.54,
1,2/16/1999,1999,FEBRUARY,2,3.89,-0.048298431,,,,
17,2/16/1999,1999,FEBRUARY,2,1.75,-0.525503002,,,,
18,2/16/1999,1999,FEBRUARY,2,0.42,-0.822083413,-0.465294949,-12.69602081,2.02,
1,3/17/1999,1999,MARCH,3,2.07,-0.454145309,,,,
17,3/17/1999,1999,MARCH,3,1.67,-0.543342425,,,,
18,3/17/1999,1999,MARCH,3,2.18,-0.429616102,-0.475701279,-13.17172209,1.973333333,
1,4/12/1999,1999,APRIL,4,7.66,0.792384388,,,,
17,4/12/1999,1999,APRIL,4,1.34,-0.616930046,,,,
18,4/12/1999,1999,APRIL,4,0.97,-0.699437378,-0.174661012,-13.3463831,3.323333333,
1,5/20/1999,1999,MAY,5,13.1,2.005465167,,,,
17,5/20/1999,1999,MAY,5,0.93,-0.70835709,,,,
18,5/20/1999,1999,MAY,5,2.21,-0.422926318,0.291393919,-13.05498918,5.413333333,
1,6/15/1999,1999,JUNE,6,3.6,-0.11296634,,,,
17,6/15/1999,1999,JUNE,6,2.66,-0.322579563,,,,
18,6/15/1999,1999,JUNE,6,1.33,-0.619159974,-0.351568626,-13.40655781,2.53,
1,7/16/1999,1999,JULY,7,9.48,1.198231266,,,,
17,7/16/1999,1999,JULY,7,0.53,-0.797554206,,,,
18,7/16/1999,1999,JULY,7,0.37,-0.833233052,-0.144185331,-13.55074314,3.46,
1,8/18/1999,1999,AUGUST,8,3.12,-0.220002879,,,,
17,8/18/1999,1999,AUGUST,8,0.94,-0.706127162,,,,
18,8/18/1999,1999,AUGUST,8,0.61,-0.779714783,-0.568614941,-14.11935808,1.556666667,
1,9/20/1999,1999,SEPTEMBER,9,1.21,-0.645919109,,,,
17,9/20/1999,1999,SEPTEMBER,9,1.69,-0.538882569,,,,
18,9/20/1999,1999,SEPTEMBER,9,0.79,-0.73957608,-0.641459253,-14.76081733,1.23,3.490462963
1,10/12/1999,1999,OCTOBER,10,17.4,2.964334164,,,,
17,10/12/1999,1999,OCTOBER,10,5.3,0.266121403,,,,
18,10/12/1999,1999,OCTOBER,10,3.39,-0.159794826,1.02355358,-13.73726375,8.696666667,
1,11/8/1999,1999,NOVEMBER,11,12.6 ,1.893968771,,,,
17,11/8/1999,1999,NOVEMBER,11,2.69 ,-0.315889779,,,,
18,11/8/1999,1999,NOVEMBER,11,2.76 ,-0.300280284,0.425932903,-13.31133085,6.016666667,
1,12/7/1999,1999,DECEMBER,12,12.2 ,1.804771655,,,,
17,12/7/1999,1999,DECEMBER,12,3.75 ,-0.079517422,,,,
18,12/7/1999,1999,DECEMBER,12,0.68 ,-0.764105287,0.320382982,-12.99094787,5.543333333,
1,1/5/2000,2000,JANUARY,1,1.39 ,-0.605780406,,,,
17,1/5/2000,2000,JANUARY,1,0.79 ,-0.73957608,,,,
18,1/5/2000,2000,JANUARY,1,2.19 ,-0.427386174,-0.59091422,-13.58186209,1.456666667,
1,2/23/2000,2000,FEBRUARY,2,2.70 ,-0.313659851,,,,
17,2/23/2000,2000,FEBRUARY,2,1.07 ,-0.677138099,,,,
