STA,DATE,YEAR,MONTH,MONTH#,PO4,Zscore PO4,meanZ,CUSUM,mean PO4,wetdryave
18,8/18/1999,1999,AUGUST,8,0.005,-1.180401075,-1.16451941,-41.04323828,1,
1,9/20/1999,1999,SEPTEMBER,9,0.11,-0.925756381,,,,
17,9/20/1999,1999,SEPTEMBER,9,0.005,-1.180401075,,,,
18,9/20/1999,1999,SEPTEMBER,9,0.005,-1.180401075,-3.286558532,-44.32979681,0.12,1.126944444
1,10/12/1999,1999,OCTOBER,10,0.68,0.456600533,,,,
17,10/12/1999,1999,OCTOBER,10,0.52,0.068570522,,,,
18,10/12/1999,1999,OCTOBER,10,0.3,-0.464970743,0.060200312,-44.2695965,1.5,
1,11/8/1999,1999,NOVEMBER,11,0.65,0.383844906,,,,
17,11/8/1999,1999,NOVEMBER,11,0.46,-0.076940732,,,,
18,11/8/1999,1999,NOVEMBER,11,0.47,-0.052688856,0.254215317,-44.01538118,1.58,
1,12/7/1999,1999,DECEMBER,12,0.66,0.408096781,,,,
17,12/7/1999,1999,DECEMBER,12,0.43,-0.149696359,,,,
18,12/7/1999,1999,DECEMBER,12,0.18,-0.755993251,-0.497592829,-44.51297401,1.27,
1,1/5/2000,2000,JANUARY,1,0.26,-0.561978246,,,,
17,1/5/2000,2000,JANUARY,1,0.37,-0.295207613,,,,
18,1/5/2000,2000,JANUARY,1,0.15,-0.828748878,-1.685934737,-46.19890875,0.78,
1,2/23/2000,2000,FEBRUARY,2,0.02,-1.144023262,,,,
17,2/23/2000,2000,FEBRUARY,2,0.13,-0.877252629,,,,
18,2/23/2000,2000,FEBRUARY,2,0.11,-0.925756381,-2.947032272,-49.14594102,0.26,
1,3/15/2000,2000,MARCH,3,0.18,-0.755993251,,,,
17,3/15/2000,2000,MARCH,3,0.07,-1.022763884,,,,
18,3/15/2000,2000,MARCH,3,0.005,-1.180401075,-2.95915821,-52.10509923,0.26,
1,4/12/2000,2000,APRIL,4,0.29,-0.489222619,,,,
17,4/12/2000,2000,APRIL,4,0.19,-0.731741375,,,,
18,4/12/2000,2000,APRIL,4,0.18,-0.755993251,-1.976957245,-54.08205648,0.66,
1,5/15/2000,2000,MAY,5,0.43,-0.149696359,,,,
17,5/15/2000,2000,MAY,5,0.26,-0.561978246,,,,
18,5/15/2000,2000,MAY,5,0.12,-0.901504505,-1.61317911,-55.69523559,0.81,
1,6/14/2000,2000,JUNE,6,0.41,-0.198200111,,,,
17,6/14/2000,2000,JUNE,6,0.13,-0.877252629,,,,
18,6/14/2000,2000,JUNE,6,0.14,-0.853000754,-1.928453494,-57.62368908,0.68,
1,7/13/2000,2000,JULY,7,0.1,-0.950008256,,,,
17,7/13/2000,2000,JULY,7,0.01,-1.168275138,,,,
18,7/13/2000,2000,JULY,7,0.02,-1.144023262,-3.262306656,-60.88599574,0.13,
1,8/16/2000,2000,AUGUST,8,0.44,-0.125444483,,,,
17,8/16/2000,2000,AUGUST,8,0.35,-0.343711365,,,,
18,8/16/2000,2000,AUGUST,8,0.47,-0.052688856,-0.521844705,-61.40784044,1.26,
1,9/13/2000,2000,SEPTEMBER,9,0.38,-0.270955738,,,,
17,9/13/2000,2000,SEPTEMBER,9,0.52,0.068570522,,,,
18,9/13/2000,2000,SEPTEMBER,9,0.63,0.335341154,0.132955939,-61.2748845,1.53,
1,10/19/2000,2000,OCTOBER,10,0.95,1.111401176,,,,
17,10/19/2000,2000,OCTOBER,10,1.03,1.305416181,,,,
18,10/19/2000,2000,OCTOBER,10,0.9,0.990141798,3.406959155,-57.86792535,2.88,
1,11/15/2000,2000,NOVEMBER,11,0.99,1.208408679,,,,
17,11/15/2000,2000,NOVEMBER,11,0.79,0.723371165,,,,
18,11/15/2000,2000,NOVEMBER,11,0.61,0.286837403,2.218617247,-55.6493081,2.39,
1,12/15/2000,2000,DECEMBER,12,0.62,0.311089279,,,,
17,12/15/2000,2000,DECEMBER,12,0.56,0.165578025,,,,
