STA,DATE,YEAR,MONTH,MONTH#,CHL_A,Zscore CHL_A,meanZ,CUSUM,mean CHL_A,Annual mean
17,2/13/2002,2002,FEBRUARY,2,3.825,-0.476995306,,,,
18,2/13/2002,2002,FEBRUARY,2,4.259,-0.376305495,-0.480301686,-7.837388216,3.810292695,
1,3/19/2002,2002,MARCH,3,2.536,-0.775506236,,,,
17,3/19/2002,2002,MARCH,3,3.288,-0.60119518,,,,
18,3/19/2002,2002,MARCH,3,3.202,-0.621115457,-0.665938957,-8.503327173,3.008781035,
1,4/15/2002,2002,APRIL,4,2.149,-0.864990736,,,,
17,4/15/2002,2002,APRIL,4,3.524,-0.546697666,,,,
18,4/15/2002,2002,APRIL,4,2.046,-0.888880322,-0.766856241,-9.270183414,2.573058298,
1,5/13/2002,2002,MAY,5,6.664,0.180683775,,,,
17,5/13/2002,2002,MAY,5,4.28,-0.371528669,,,,
18,5/13/2002,2002,MAY,5,3.025,-0.662139829,-0.284328241,-9.554511655,4.656432056,
1,6/11/2002,2002,JUNE,6,10.142,0.986191447,,,,
17,6/11/2002,2002,JUNE,6,7.042,0.268299695,,,,
18,6/11/2002,2002,JUNE,6,8.696,0.651173505,0.635221549,-8.919290106,8.626700931,
1,7/18/2002,2002,JULY,7,10.765,1.130390688,,,,
17,7/18/2002,2002,JULY,7,3.965,-0.444468332,,,,
18,7/18/2002,2002,JULY,7,2.692,-0.739290861,-0.017789502,-8.937079608,5.807245717,
1,8/15/2002,2002,AUGUST,8,13.532,1.7713125,,,,
17,8/15/2002,2002,AUGUST,8,8.282,0.555334147,,,,
18,8/15/2002,2002,AUGUST,8,9.785,0.903500885,1.076715844,-7.860363764,10.53290664,
1,9/17/2002,2002,SEPTEMBER,9,3.396,-0.576333006,,,,
17,9/17/2002,2002,SEPTEMBER,9,7.244,0.314883154,,,,
18,9/17/2002,2002,SEPTEMBER,9,3.341,-0.589081071,-0.283510308,-8.143874072,4.659963583,
1,10/15/2002,2002,OCTOBER,10,3.569,-0.536257946,,,,
17,10/15/2002,2002,OCTOBER,10,4.246,-0.379354407,,,,
18,10/15/2002,2002,OCTOBER,10,3.044,-0.657814464,-0.524475606,-8.668349677,3.619566387,
1,11/15/2002,2002,NOVEMBER,11,2.833,-0.706564877,,,,
17,11/15/2002,2002,NOVEMBER,11,0.669,-1.207792,,,,
18,11/15/2002,2002,NOVEMBER,11,0.598,-1.224384146,-1.046247008,-9.714596685,1.366754434,
1,12/19/2002,2002,DECEMBER,12,4.381,-0.348221468,,,,
17,12/19/2002,2002,DECEMBER,12,3.05,-0.656406886,,,,
18,12/19/2002,2002,DECEMBER,12,2.751,-0.72567121,-0.576766521,-10.29136321,3.393793953,4.578969408
1,1/14/2003,2003,JANUARY,1,14.452,1.984358856,,,,
17,1/14/2003,2003,JANUARY,1,14.678,2.036800675,,,,
18,1/14/2003,2003,JANUARY,1,4.986,-0.208090965,1.271022855,-9.020340351,11.37185097,
1,2/13/2003,2003,FEBRUARY,2,7.999,0.489789076,,,,
17,2/13/2003,2003,FEBRUARY,2,6.102,0.050557492,,,,
18,2/13/2003,2003,FEBRUARY,2,7.828,0.450234009,0.330193526,-8.690146826,7.309705071,
1,3/10/2003,2003,MARCH,3,5.011,-0.202308803,,,,
17,3/10/2003,2003,MARCH,3,6.663,0.180497064,,,,
18,3/10/2003,2003,MARCH,3,9.436,0.822627881,0.266938714,-8.423208112,7.036594672,
1,4/14/2003,2003,APRIL,4,11.622,1.328868784,,,,
17,4/14/2003,2003,APRIL,4,10.151,0.988362223,,,,
18,4/14/2003,2003,APRIL,4,8.633,0.636713846,0.984648284,-7.438559827,10.13539367,
1,5/12/2003,2003,MAY,5,3.526,-0.546255952,,,,
17,5/12/2003,2003,MAY,5,1.405,-1.0373128,,,,
18,5/12/2003,2003,MAY,5,0.748,-1.1895963,-0.92438835,-8.362948178,1.892894117,
1,6/20/2003,2003,JUNE,6,4.478,-0.325747818,,,,
17,6/20/2003,2003,JUNE,6,3.951,-0.44780335,,,,
18,6/20/2003,2003,JUNE,6,4.447,-0.33280847,-0.368786546,-8.731734724,4.291772977,
1,7/15/2003,2003,JULY,7,11.906,1.394832958,,,,
17,7/15/2003,2003,JULY,7,5.059,-0.191166522,,,,
18,7/15/2003,2003,JULY,7,11.931,1.400420152,0.868028863,-7.863705861,9.631875032,
1,8/12/2003,2003,AUGUST,8,9.82,0.911653681,,,,
17,8/12/2003,2003,AUGUST,8,17.786,2.756612213,,,,
18,8/12/2003,2003,AUGUST,8,19.843,3.232963622,2.300409839,-5.563296022,15.81635538,
1,9/24/2003,2003,SEPTEMBER,9,3.53,-0.545166012,,,,
17,9/24/2003,2003,SEPTEMBER,9,3.652,-0.51693281,,,,
18,9/24/2003,2003,SEPTEMBER,9,3.578,-0.534141322,-0.532080048,-6.09537607,3.586733276,
1,10/14/2003,2003,OCTOBER,10,5.318,-0.131080026,,,,
17,10/14/2003,2003,OCTOBER,10,5.184,-0.162115625,,,,
18,10/14/2003,2003,OCTOBER,10,5.035,-0.196579036,-0.163258229,-6.258634299,5.179166667,
1,11/18/2003,2003,NOVEMBER,11,3.793,-0.48432999,,,,
17,11/18/2003,2003,NOVEMBER,11,3.977,-0.441760266,,,,
18,11/18/2003,2003,NOVEMBER,11,3.405,-0.574286905,-0.50012572,-6.758760019,3.7247,
1,12/18/2003,2003,DECEMBER,12,2.765,-0.722423987,,,,
17,12/18/2003,2003,DECEMBER,12,3.277,-0.603886528,,,,
18,12/18/2003,2003,DECEMBER,12,6.23,0.080101011,-0.415403168,-7.174163187,4.0905,7.005628486
1,1/13/2004,2004,JANUARY,1,4.72,-0.269721141,,,,
17,1/13/2004,2004,JANUARY,1,4.234,-0.382259928,,,,
18,1/14/2004,2004,JANUARY,1,4.586,-0.300548292,-0.317509787,-7.491672974,4.513166667,
1,2/10/2004,2004,FEBRUARY,2,6.502,0.143006001,,,,
17,2/10/2004,2004,FEBRUARY,2,7.707,0.422233746,,,,
18,2/10/2004,2004,FEBRUARY,2,10.61,1.094548195,0.553262647,-6.938410326,8.272833333,
1,3/17/2004,2004,MARCH,3,7.571,0.390619125,,,,
17,3/17/2004,2004,MARCH,3,7.132,0.289081763,,,,
18,3/17/2004,2004,MARCH,3,6.17,0.066204474,0.248635121,-6.689775205,6.957566667,
1,4/17/2004,2004,APRIL,4,7.885,0.463436978,,,,
17,4/17/2004,2004,APRIL,4,3.646,-0.518399666,,,,
18,4/17/2004,2004,APRIL,4,3.863,-0.468117364,-0.174360017,-6.864135223,5.131233333,
1,5/11/2004,2004,MAY,5,1.311,-1.059206555,,,,
17,5/11/2004,2004,MAY,5,1.441,-1.028958427,,,,
18,5/11/2004,2004,MAY,5,2.204,-0.852240801,-0.980135261,-7.844270484,1.6522,
1,6/15/2004,2004,JUNE,6,17.126,2.603804731,,,,
17,6/15/2004,2004,JUNE,6,18.147,2.84016166,,,,
18,6/15/2004,2004,JUNE,6,7.318,0.332137866,1.925368086,-5.918902398,14.19706667,
1,7/13/2004,2004,JULY,7,17.85,2.771373803,,,,
17,7/13/2004,2004,JULY,7,17.636,2.721902132,,,,
18,7/13/2004,2004,JULY,7,23.803,4.150280824,3.21451892,-2.704383478,19.76313333,
1,8/18/2004,2004,AUGUST,8,5.311,-0.132770771,,,,
